REG;                             ®               
ShortDownArrow;                  ↓               
leftrightharpoons;               ⇋               
Zacute;                          Ź               
wscr;                            𝓌               
DD;                              ⅅ               
tcy;                             т               
emsp14;                                          
lE;                              ≦               
xhArr;                           ⟺               
angmsd;                          ∡               
Delta;                           Δ               
maltese;                         ✠               
cupbrcap;                        ⩈               
THORN                            Þ               
vangrt;                          ⦜               
LeftArrow;                       ←               
nleqq;                           ≦̸              
jscr;                            𝒿               
it;                              ⁢               
OpenCurlyDoubleQuote;            “               
colone;                          ≔               
intlarhk;                        ⨗               
image;                           ℑ               
rharu;                           ⇀               
angrtvbd;                        ⦝               
omicron;                         ο               
Ecaron;                          Ě               
ndash;                           –               
ExponentialE;                    ⅇ               
srarr;                           →               
xwedge;                          ⋀               
boxplus;                         ⊞               
horbar;                          ―               
thksim;                          ∼               
larrfs;                          ⤝               
ntriangleright;                  ⋫               
rmoust;                          ⎱               
Mu;                              Μ               
bullet;                          •               
ucirc;                           û               
gamma;                           γ               
Larr;                            ↞               
gvertneqq;                       ≩︀              
blacktriangle;                   ▴               
ges;                             ⩾               
itilde;                          ĩ               
ecirc;                           ê               
doteqdot;                        ≑               
RightCeiling;                    ⌉               
oplus;                           ⊕               
nisd;                            ⋺               
orarr;                           ↻               
mid;                             ∣               
xrArr;                           ⟹               
notinE;                          ⋹̸              
clubs;                           ♣               
andand;                          ⩕               
Egrave;                          È               
Qfr;                             𝔔               
Cedilla;                         ¸               
male;                            ♂               
dcy;                             д               
gt                               >               
rightleftharpoons;               ⇌               
Darr;                            ↡               
bsolhsub;                        ⟈               
Dcy;                             Д               
lobrk;                           ⟦               
coprod;                          ∐               
NotExists;                       ∄               
thinsp;                                          
backepsilon;                     ϶               
brvbar                           ¦               
xdtri;                           ▽               
tint;                            ∭               
nsce;                            ⪰̸              
phmmat;                          ℳ               
triplus;                         ⨹               
nsupseteq;                       ⊉               
doublebarwedge;                  ⌆               
rarrbfs;                         ⤠               
Gcirc;                           Ĝ               
DoubleDownArrow;                 ⇓               
rsquo;                           ’               
gla;                             ⪥               
frac34;                          ¾               
NotTildeEqual;                   ≄               
Vert;                            ‖               
dfr;                             𝔡               
Int;                             ∬               
kgreen;                          ĸ               
rightharpoonup;                  ⇀               
Pcy;                             П               
leftharpoondown;                 ↽               
ifr;                             𝔦               
REG                              ®               
bigotimes;                       ⨂               
cupdot;                          ⊍               
emptyv;                          ∅               
gneqq;                           ≩               
spar;                            ∥               
fjlig;                           fj              
suphsub;                         ⫗               
lbrack;                          [               
Sigma;                           Σ               
vsupne;                          ⊋︀              
curvearrowleft;                  ↶               
period;                          .               
pm;                              ±               
frac15;                          ⅕               
doteq;                           ≐               
Gcedil;                          Ģ               
zcy;                             з               
orv;                             ⩛               
triangleq;                       ≜               
SquareSupersetEqual;             ⊒               
gdot;                            ġ               
Fscr;                            ℱ               
circ;                            ˆ               
ccaron;                          č               
Dot;                             ¨               
mscr;                            𝓂               
esim;                            ≂               
NotGreaterSlantEqual;            ⩾̸              
semi;                            ;               
DotDot;                          ⃜               
aelig                            æ               
rsaquo;                          ›               
longleftarrow;                   ⟵               
fllig;                           ﬂ               
Because;                         ∵               
ufisht;                          ⥾               
Kopf;                            𝕂               
odiv;                            ⨸               
eqvparsl;                        ⧥               
Ugrave                           Ù               
dopf;                            𝕕               
hookrightarrow;                  ↪               
Ugrave;                          Ù               
dtdot;                           ⋱               
commat;                          @               
acute;                           ´               
leftharpoonup;                   ↼               
capdot;                          ⩀               
UpperRightArrow;                 ↗               
nGtv;                            ≫̸              
Uacute;                          Ú               
ovbar;                           ⌽               
OverBrace;                       ⏞               
Implies;                         ⇒               
ngtr;                            ≯               
NegativeThickSpace;              ​               
nLtv;                            ≪̸              
lesg;                            ⋚︀              
icirc;                           î               
cdot;                            ċ               
Kfr;                             𝔎               
mapsto;                          ↦               
Dopf;                            𝔻               
measuredangle;                   ∡               
sqsup;                           ⊐               
loang;                           ⟬               
plusmn;                          ±               
bcong;                           ≌               
upsi;                            υ               
gsiml;                           ⪐               
sqcaps;                          ⊓︀              
Gt;                              ≫               
empty;                           ∅               
efDot;                           ≒               
gfr;                             𝔤               
tcaron;                          ť               
Fcy;                             Ф               
lsqb;                            [               
bigodot;                         ⨀               
boxVH;                           ╬               
leftleftarrows;                  ⇇               
Egrave                           È               
oslash                           ø               
OverBracket;                     ⎴               
Vdash;                           ⊩               
Kcy;                             К               
eacute                           é               
nrarr;                           ↛               
DoubleLongLeftRightArrow;        ⟺               
lopf;                            𝕝               
mu;                              μ               
sqcups;                          ⊔︀              
vert;                            |               
nvinfin;                         ⧞               
larrb;                           ⇤               
IJlig;                           Ĳ               
hopf;                            𝕙               
acirc;                           â               
lessgtr;                         ≶               
yicy;                            ї               
lbrace;                          {               
DoubleLeftRightArrow;            ⇔               
Uarr;                            ↟               
ogon;                            ˛               
NegativeThinSpace;               ​               
acE;                             ∾̳              
leftrightsquigarrow;             ↭               
lopar;                           ⦅               
rarrap;                          ⥵               
dotminus;                        ∸               
fallingdotseq;                   ≒               
ne;                              ≠               
euml                             ë               
Iuml                             Ï               
numsp;                                           
ccedil                           ç               
UpDownArrow;                     ↕               
Iacute;                          Í               
digamma;                         ϝ               
otimes;                          ⊗               
supseteq;                        ⊇               
LessEqualGreater;                ⋚               
Proportional;                    ∝               
operp;                           ⦹               
Colone;                          ⩴               
dArr;                            ⇓               
Tcaron;                          Ť               
straightphi;                     ϕ               
nap;                             ≉               
lmidot;                          ŀ               
LeftTriangle;                    ⊲               
excl;                            !               
boxhD;                           ╥               
Eacute                           É               
hybull;                          ⁃               
lthree;                          ⋋               
nlArr;                           ⇍               
tscy;                            ц               
nscr;                            𝓃               
nvrArr;                          ⤃               
RightTriangleBar;                ⧐               
frac18;                          ⅛               
supnE;                           ⫌               
gnap;                            ⪊               
rarrpl;                          ⥅               
gg;                              ≫               
boxDl;                           ╖               
rcy;                             р               
boxv;                            │               
lharu;                           ↼               
sqcup;                           ⊔               
trie;                            ≜               
cir;                             ○               
nequiv;                          ≢               
lsh;                             ↰               
mstpos;                          ∾               
Ouml;                            Ö               
naturals;                        ℕ               
ucirc                            û               
centerdot;                       ·               
xlarr;                           ⟵               
uuml                             ü               
puncsp;                                          
Dfr;                             𝔇               
Iscr;                            ℐ               
xutri;                           △               
mnplus;                          ∓               
GreaterSlantEqual;               ⩾               
SuchThat;                        ∋               
NotSucceedsEqual;                ⪰̸              
GJcy;                            Ѓ               
VerticalLine;                    |               
varnothing;                      ∅               
EqualTilde;                      ≂               
topcir;                          ⫱               
npar;                            ∦               
ContourIntegral;                 ∮               
rightsquigarrow;                 ↝               
ratio;                           ∶               
ni;                              ∋               
RightUpVectorBar;                ⥔               
Iopf;                            𝕀               
Ncaron;                          Ň               
NotReverseElement;               ∌               
boxvr;                           ├               
bot;                             ⊥               
Oscr;                            𝒪               
prime;                           ′               
curlywedge;                      ⋏               
simplus;                         ⨤               
ljcy;                            љ               
xotime;                          ⨂               
varphi;                          ϕ               
PlusMinus;                       ±               
lharul;                          ⥪               
nsimeq;                          ≄               
flat;                            ♭               
varkappa;                        ϰ               
lbbrk;                           ❲               
ecir;                            ≖               
nlE;                             ≦̸              
Eta;                             Η               
iocy;                            ё               
csup;                            ⫐               
Ocirc;                           Ô               
Chi;                             Χ               
frac35;                          ⅗               
RoundImplies;                    ⥰               
napprox;                         ≉               
lg;                              ≶               
circeq;                          ≗               
ubreve;                          ŭ               
models;                          ⊧               
uplus;                           ⊎               
shy;                             ­               
Longrightarrow;                  ⟹               
Nopf;                            ℕ               
subsub;                          ⫕               
Subset;                          ⋐               
iuml                             ï               
ddotseq;                         ⩷               
larrtl;                          ↢               
UpArrowBar;                      ⤒               
compfn;                          ∘               
Bumpeq;                          ≎               
circlearrowright;                ↻               
downharpoonright;                ⇂               
nsqsube;                         ⋢               
CenterDot;                       ·               
ecolon;                          ≕               
ecirc                            ê               
emptyset;                        ∅               
omacr;                           ō               
succapprox;                      ⪸               
bsolb;                           ⧅               
searr;                           ↘               
multimap;                        ⊸               
niv;                             ∋               
lgE;                             ⪑               
blk34;                           ▓               
Atilde;                          Ã               
nlsim;                           ≴               
iuml;                            ï               
Leftrightarrow;                  ⇔               
DoubleVerticalBar;               ∥               
urcorner;                        ⌝               
amalg;                           ⨿               
dblac;                           ˝               
ccups;                           ⩌               
rcedil;                          ŗ               
UpTee;                           ⊥               
vfr;                             𝔳               
bigcup;                          ⋃               
boxtimes;                        ⊠               
luruhar;                         ⥦               
langle;                          ⟨               
lsime;                           ⪍               
atilde                           ã               
uml;                             ¨               
rarrb;                           ⇥               
precnsim;                        ⋨               
Uuml;                            Ü               
NotSquareSubsetEqual;            ⋢               
sub;                             ⊂               
NotSupersetEqual;                ⊉               
ocir;                            ⊚               
NegativeVeryThinSpace;           ​               
cross;                           ✗               
nbsp                                             
supsup;                          ⫖               
xi;                              ξ               
barwedge;                        ⌅               
Emacr;                           Ē               
lcedil;                          ļ               
amp;                             &               
diam;                            ⋄               
THORN;                           Þ               
ThickSpace;                                      
longmapsto;                      ⟼               
Ffr;                             𝔉               
Lleftarrow;                      ⇚               
frasl;                           ⁄               
thorn;                           þ               
permil;                          ‰               
IOcy;                            Ё               
rightarrowtail;                  ↣               
comp;                            ∁               
nRightarrow;                     ⇏               
trpezium;                        ⏢               
breve;                           ˘               
imath;                           ı               
infin;                           ∞               
emsp13;                                          
notniva;                         ∌               
starf;                           ★               
Bfr;                             𝔅               
Lfr;                             𝔏               
nwArr;                           ⇖               
caret;                           ⁁               
questeq;                         ≟               
cwint;                           ∱               
larrbfs;                         ⤟               
blacktriangleright;              ▸               
Lcy;                             Л               
nu;                              ν               
asympeq;                         ≍               
Proportion;                      ∷               
ohbar;                           ⦵               
GreaterFullEqual;                ≧               
reg                              ®               
boxHD;                           ╦               
sup3                             ³               
rightharpoondown;                ⇁               
vprop;                           ∝               
gtquest;                         ⩼               
nles;                            ⩽̸              
topbot;                          ⌶               
malt;                            ✠               
Rightarrow;                      ⇒               
NotHumpDownHump;                 ≎̸              
Iukcy;                           І               
exist;                           ∃               
rtriltri;                        ⧎               
approx;                          ≈               
lesges;                          ⪓               
RightDownVector;                 ⇂               
triangleright;                   ▹               
ltdot;                           ⋖               
prod;                            ∏               
LeftUpVector;                    ↿               
rangd;                           ⦒               
frac78;                          ⅞               
lcub;                            {               
frac14;                          ¼               
dashv;                           ⊣               
zacute;                          ź               
angle;                           ∠               
ggg;                             ⋙               
ncong;                           ≇               
ang;                             ∠               
Mopf;                            𝕄               
phi;                             φ               
rarrc;                           ⤳               
CirclePlus;                      ⊕               
Iacute                           Í               
blacktriangleleft;               ◂               
tilde;                           ˜               
Wcirc;                           Ŵ               
RightUpVector;                   ↾               
DiacriticalDoubleAcute;          ˝               
PrecedesEqual;                   ⪯               
RightDownTeeVector;              ⥝               
utri;                            ▵               
omega;                           ω               
Gscr;                            𝒢               
supne;                           ⊋               
geqq;                            ≧               
pound                            £               
Ifr;                             ℑ               
ldsh;                            ↲               
sigma;                           σ               
phone;                           ☎               
simdot;                          ⩪               
dsol;                            ⧶               
divide;                          ÷               
backprime;                       ‵               
UnionPlus;                       ⊎               
DownLeftVector;                  ↽               
varpropto;                       ∝               
gvnE;                            ≩︀              
cire;                            ≗               
ufr;                             𝔲               
rotimes;                         ⨵               
dwangle;                         ⦦               
lesdotor;                        ⪃               
qprime;                          ⁗               
longrightarrow;                  ⟶               
UnderBracket;                    ⎵               
frown;                           ⌢               
LeftUpDownVector;                ⥑               
urtri;                           ◹               
ngeqq;                           ≧̸              
rtrie;                           ⊵               
ugrave;                          ù               
Cup;                             ⋓               
twixt;                           ≬               
angzarr;                         ⍼               
sqsupset;                        ⊐               
yscr;                            𝓎               
vscr;                            𝓋               
Sacute;                          Ś               
precsim;                         ≾               
Afr;                             𝔄               
lfr;                             𝔩               
csube;                           ⫑               
rbrke;                           ⦌               
diams;                           ♦               
uwangle;                         ⦧               
xlArr;                           ⟸               
circleddash;                     ⊝               
lfloor;                          ⌊               
CounterClockwiseContourIntegral; ∳               
hksearow;                        ⤥               
lAtail;                          ⤛               
subsetneqq;                      ⫋               
loplus;                          ⨭               
lbrke;                           ⦋               
wedbar;                          ⩟               
nsupe;                           ⊉               
NotGreaterEqual;                 ≱               
scnsim;                          ⋩               
imped;                           Ƶ               
bernou;                          ℬ               
rsh;                             ↱               
sect;                            §               
subsetneq;                       ⊊               
plusmn                           ±               
LeftRightArrow;                  ↔               
Intersection;                    ⋂               
SucceedsEqual;                   ⪰               
quest;                           ?               
ngt;                             ≯               
rHar;                            ⥤               
Lt;                              ≪               
raemptyv;                        ⦳               
nacute;                          ń               
lang;                            ⟨               
rbrace;                          }               
npart;                           ∂̸              
NotRightTriangle;                ⋫               
sqsupe;                          ⊒               
Pi;                              Π               
thicksim;                        ∼               
succcurlyeq;                     ≽               
Gg;                              ⋙               
Prime;                           ″               
topfork;                         ⫚               
expectation;                     ℰ               
rbarr;                           ⤍               
part;                            ∂               
bigoplus;                        ⨁               
uuml;                            ü               
ntriangleleft;                   ⋪               
exponentiale;                    ⅇ               
prcue;                           ≼               
NotHumpEqual;                    ≏̸              
cedil                            ¸               
ldrushar;                        ⥋               
cylcty;                          ⌭               
notinvb;                         ⋷               
backsim;                         ∽               
Ll;                              ⋘               
boxminus;                        ⊟               
tprime;                          ‴               
scedil;                          ş               
sup1                             ¹               
circledcirc;                     ⊚               
LeftFloor;                       ⌊               
nrightarrow;                     ↛               
NotNestedLessLess;               ⪡̸              
perp;                            ⊥               
rmoustache;                      ⎱               
rAtail;                          ⤜               
rarr;                            →               
yuml                             ÿ               
trisb;                           ⧍               
Xopf;                            𝕏               
LeftCeiling;                     ⌈               
LongRightArrow;                  ⟶               
gesl;                            ⋛︀              
ForAll;                          ∀               
iukcy;                           і               
bigwedge;                        ⋀               
Topf;                            𝕋               
kscr;                            𝓀               
LeftTriangleEqual;               ⊴               
Aacute                           Á               
Cayleys;                         ℭ               
ncy;                             н               
Rarr;                            ↠               
nGt;                             ≫⃒              
Hat;                             ^               
toea;                            ⤨               
eqsim;                           ≂               
lnap;                            ⪉               
bigtriangleup;                   △               
CupCap;                          ≍               
simrarr;                         ⥲               
gsime;                           ⪎               
Wscr;                            𝒲               
timesbar;                        ⨱               
drcrop;                          ⌌               
nbumpe;                          ≏̸              
ograve                           ò               
rpargt;                          ⦔               
intprod;                         ⨼               
uHar;                            ⥣               
Aacute;                          Á               
upuparrows;                      ⇈               
raquo;                           »               
becaus;                          ∵               
Zeta;                            Ζ               
suplarr;                         ⥻               
cularrp;                         ⤽               
infintie;                        ⧝               
boxbox;                          ⧉               
OverParenthesis;                 ⏜               
harr;                            ↔               
gel;                             ⋛               
succneqq;                        ⪶               
leftrightarrow;                  ↔               
rnmid;                           ⫮               
darr;                            ↓               
sum;                             ∑               
sopf;                            𝕤               
Lscr;                            ℒ               
uacute                           ú               
Qopf;                            ℚ               
RightUpDownVector;               ⥏               
leg;                             ⋚               
Updownarrow;                     ⇕               
angmsdaf;                        ⦭               
prE;                             ⪳               
bfr;                             𝔟               
abreve;                          ă               
